Timestamp,X,Y
1740924233.7096126,489,146
1740924233.8124425,489,146
1740924233.8999374,488,145
1740924233.9864693,488,145
1740924234.084189,488,145
1740924234.1783564,487,145
1740924234.2655003,487,145
1740924234.3567958,488,146
1740924234.4503698,489,146
1740924234.5470328,501,144
1740924234.6394908,511,131
1740924234.7292352,514,123
1740924234.8178792,524,88
1740924234.9064553,524,79
1740924234.999582,518,62
1740924235.087317,522,101
1740924235.1780126,523,83
1740924235.2590935,529,146
1740924235.3656354,525,161
1740924235.453968,521,132
1740924235.5478294,510,118
1740924235.6393785,511,125
1740924235.733451,519,184
1740924235.8271406,517,181
1740924235.925948,513,163
1740924236.0299928,509,142
1740924236.123293,511,148
1740924236.2146304,511,185
1740924236.3449867,493,175
1740924236.4284027,487,171
1740924236.5218735,487,188
1740924236.6171722,489,171
1740924236.701835,491,163
1740924236.798814,509,193
1740924236.8849697,512,198
1740924236.966513,506,181
1740924237.054395,499,174
1740924237.1311226,507,198
1740924237.2223644,510,197
1740924237.313639,514,201
1740924237.41254,516,197
1740924237.5014048,535,194
1740924237.5979908,540,240
1740924237.6936061,537,239
1740924237.7861598,536,231
1740924237.8856804,543,243
1740924237.968592,545,237
1740924238.0488667,547,230
1740924238.1417267,556,241
1740924238.2327962,555,227
1740924238.3255825,554,228
1740924238.4148512,551,239
1740924238.5151048,550,238
1740924238.6026652,542,236
1740924238.7015872,540,237
1740924238.787379,536,229
1740924238.8778,523,235
1740924238.9687412,520,234
1740924239.0611713,513,231
1740924239.1592476,513,235
1740924239.2433422,513,235
1740924239.3336585,513,235
1740924239.4271917,513,235
1740924239.5184553,513,235
1740924239.6095917,513,235
1740924239.705923,513,235
1740924239.7956874,513,235
1740924239.8873513,513,235
1740924239.9881754,512,235
1740924240.0918155,513,235
1740924240.177635,513,236
1740924240.2684894,512,236
1740924240.3596814,512,236
1740924240.4492617,512,235
1740924240.5443213,511,235
1740924240.6319866,511,236
1740924240.7279458,510,235
1740924240.8152535,510,235
1740924240.8956122,509,235
1740924240.9876032,509,236
1740924241.0844219,509,236
1740924241.174643,508,236
1740924241.270631,508,236
